Tipo de operación,Tipo de propiedad,Habitaciones,Baños,Área total,Área de terreno,Año de construcción,Estrato,latitud,longitud,departamento,ciudad,direccion,precio,descripcion,parqueadero,Nivel,Área construida
Arriendo,Apartamento,2,3,130 m²,,,,6.181771,-75.574725,Antioquia,Medellín,"Calle 20Bs 38 89, El Diamante No. 2, Medellín, Antioquia, COL",6500000,"Renta espectacular apartamento en El Poblado, en el sector de La Frontera. Tiene dos cómodas habitaciones, cada una con baño y vestier, amplia zona social compuesta por una cocina abierta, sala, comedor y un amplio balcón con una vista espectacular hacia el sur del valle de aburrá, el apartamento se encuentra en el piso 17. Tiene además dos parqueaderos cubiertos y un amplio cuarto útil ubicado en el mismo piso del apartamento.
El apartamento está en unidad cerrada con vigilancia las 24 horas. Tiene piscina climatizada, turco, gimnasio, salón social, parque infantil, zonas verdes y zonas de mascotas. El apartamento está ubicado en una zona estratégica, con excelentes vías de acceso por la Avenida El Poblado y Las Transversales y con facilidad de transporte público. Cerca se encuentran centros comerciales, supermercados, zonas de restaurantes, colegios, Universidades y hoteles.",0,17,
Arriendo,Apartamento,2,3,130 m²,,,,6.181771,-75.574725,Antioquia,Medellín,"Calle 20Bs 38 89, El Diamante No. 2, Medellín, Antioquia, COL",6500000,"Renta espectacular apartamento en El Poblado, en el sector de La Frontera. Tiene dos cómodas habitaciones, cada una con baño y vestier, amplia zona social compuesta por una cocina abierta, sala, comedor y un amplio balcón con una vista espectacular hacia el sur del valle de aburrá, el apartamento se encuentra en el piso 17. Tiene además dos parqueaderos cubiertos y un amplio cuarto útil ubicado en el mismo piso del apartamento.
El apartamento está en unidad cerrada con vigilancia las 24 horas. Tiene piscina climatizada, turco, gimnasio, salón social, parque infantil, zonas verdes y zonas de mascotas. El apartamento está ubicado en una zona estratégica, con excelentes vías de acceso por la Avenida El Poblado y Las Transversales y con facilidad de transporte público. Cerca se encuentran centros comerciales, supermercados, zonas de restaurantes, colegios, Universidades y hoteles.",0,17,
Arriendo,Apartamento,2,2,70 m²,,,,6.346105,-75.508026,Antioquia,Copacabana,"Calle 48 61, San Francisco, Copacabana, Antioquia, COL",1600000,"Codigo Inmueble 1044 Herencia inmobiliaria s.a.s ofrece Apartamento 70 mts. en ArriendoCopacabana Sector Machado
Sala comedorCocina integral Abierta2 habitaciones la principal cuenta con baño privado y closetZona de ropas, baño socialBalcón muy amplio y con excelente vista hacia el centro comercial puerta del norteParqueadero privado y cuarto útil
Piscina para adultos y niños, saunaGimnasio Dotado, juegos infantilesZona de Mascotas, Salón de GameSalón social, locales comerciales
ubicado en el sector Machado, una zona privilegiada en el norte del Valle de Aburrá. Se encuentra a pocos kilómetros del Centro Comercial Puerta del Norte y de la estación Niquía del Metro. Excelente rutas de transporte público y rutas integradas a las estaciones del metro Niquia y madera",0,,70 m²
Arriendo,Apartamento,2,2,70 m²,,,,6.346105,-75.508026,Antioquia,Copacabana,"Calle 48 61, San Francisco, Copacabana, Antioquia, COL",1600000,"Codigo Inmueble 1044 Herencia inmobiliaria s.a.s ofrece Apartamento 70 mts. en ArriendoCopacabana Sector Machado
Sala comedorCocina integral Abierta2 habitaciones la principal cuenta con baño privado y closetZona de ropas, baño socialBalcón muy amplio y con excelente vista hacia el centro comercial puerta del norteParqueadero privado y cuarto útil
Piscina para adultos y niños, saunaGimnasio Dotado, juegos infantilesZona de Mascotas, Salón de GameSalón social, locales comerciales
ubicado en el sector Machado, una zona privilegiada en el norte del Valle de Aburrá. Se encuentra a pocos kilómetros del Centro Comercial Puerta del Norte y de la estación Niquía del Metro. Excelente rutas de transporte público y rutas integradas a las estaciones del metro Niquia y madera",0,,70 m²
Arriendo,Apartamento,2,2,62 m²,,,,6.346105,-75.508026,Antioquia,Copacabana,"Calle 48 61, San Francisco, Copacabana, Antioquia, COL",1400000,"Codigo Inmueble 1045 

Herencia inmobiliaria s.a.s ofrece Apartamento 70 mts. en ArriendoCopacabana Sector Machado
Sala comedorCocina integral Abierta2 habitaciones la principal cuenta con baño privado y closetZona de ropas, baño socialBalcón con excelente vista Parqueadero privado y cuarto útil
Piscina para adultos y niños, saunaGimnasio Dotado, juegos infantilesZona de Mascotas, Salón de GameSalón social, locales comerciales
ubicado en el sector Machado, una zona privilegiada en el norte del Valle de Aburrá. Se encuentra a pocos kilómetros del Centro Comercial Puerta del Norte y de la estación Niquía del Metro. Excelente rutas de transporte público y rutas integradas a las estaciones del metro Niquia y madera",0,,62 m²
Arriendo,Apartamento,2,2,62 m²,,,,6.346105,-75.508026,Antioquia,Copacabana,"Calle 48 61, San Francisco, Copacabana, Antioquia, COL",1400000,"Codigo Inmueble 1045 

Herencia inmobiliaria s.a.s ofrece Apartamento 70 mts. en ArriendoCopacabana Sector Machado
Sala comedorCocina integral Abierta2 habitaciones la principal cuenta con baño privado y closetZona de ropas, baño socialBalcón con excelente vista Parqueadero privado y cuarto útil
Piscina para adultos y niños, saunaGimnasio Dotado, juegos infantilesZona de Mascotas, Salón de GameSalón social, locales comerciales
ubicado en el sector Machado, una zona privilegiada en el norte del Valle de Aburrá. Se encuentra a pocos kilómetros del Centro Comercial Puerta del Norte y de la estación Niquía del Metro. Excelente rutas de transporte público y rutas integradas a las estaciones del metro Niquia y madera",0,,62 m²
Arriendo,Casa,5,5,230 m²,,2021,5,6.167286,-75.583696,Antioquia,Envigado,"Carrera 36 37S 88-100, Mesa, Envigado, Antioquia, COL",6200000,"¡Tu hogar ideal te espera! Casa de 230 m² en tres niveles en un exclusivo sector 

Descubre esta hermosa casa que combina elegancia, comodidad y funcionalidad. Con un diseño moderno y acogedor, esta propiedad cuenta con 4 amplias habitaciones, siendo la principal un verdadero refugio con balcón privado, vestier y un baño con bañera. Además, incluye una habitación de servicio con su propio baño y ducha, sumando un total de 5 baños en la casa, 4 de ellos equipados con ducha.

La cocina integral en madera clásica es un sueño para los amantes de la gastronomía, con una práctica barra que conecta con el salón comedor, ideal para compartir momentos en familia. La sala, adornada con una acogedora chimenea, es perfecta para disfrutar de noches cálidas. El estudio con balcón ofrece un espacio tranquilo para trabajar o estudiar.

Disfruta de tu tiempo libre en el patio interior, que cuenta con módulos plásticos para guardar herramientas, y un espacio de barbacoa con asador a gas, ideal para reuniones con amigos. Relájate en el jacuzzi con cromoterapia, burbujas y jets para 6 personas, complementado con una zona solarium que incluye sillas asoleadoras y sombrillas sobre un deck de teca y acero inoxidable, rodeado de un hermoso jardín vertical.

Entre las comodidades adicionales, encontrarás un cuarto útil bajo las escaleras, un patio de ropas independiente, y tres parqueaderos con cajoneras superiores, además de espacio para visitantes. La seguridad es primordial, con portería 24 horas y una red de cámaras internas lista para que instales tu DVR. Además, la casa cuenta con iluminación natural en todas las áreas, creando un ambiente cálido y acogedor.

Ubicada en un entorno tranquilo, sin casas en frente ni detrás, disfrutarás de la privacidad que mereces. A solo 30 metros, encontrarás un gimnasio completo y barras, así como un parque infantil al frente de la casa y un sendero peatonal para paseos relajantes.

Precio de arriendo $6'200.000
Código 8988444

UBICACIÓN
El Esmeraldal es un sector residencial privilegiado en Envigado, conocido por su ambiente tranquilo y su cercanía a la naturaleza. Este barrio se caracteriza por sus amplias calles, áreas verdes y un entorno familiar, lo que lo convierte en un lugar ideal para vivir. El Esmeraldal se encuentra en una posición conveniente, con fácil acceso a las principales vías de la ciudad, lo que permite una rápida conexión con Medellín y otras áreas del Valle de Aburrá. Rodeado de montañas y zonas verdes, el sector ofrece un clima agradable y un ambiente sereno, perfecto para quienes disfrutan de actividades al aire libre y de la tranquilidad que brinda la naturaleza. La zona cuenta con una variedad de proyectos de vivienda, desde casas unifamiliares hasta apartamentos en condominios cerrados, todos diseñados para ofrecer comodidad y seguridad a sus residentes. En el Esmeraldal, los residentes tienen acceso a una amplia gama de servicios, incluyendo supermercados, restaurantes, colegios y centros de salud, lo que facilita la vida diaria.
El sector es conocido por su ambiente seguro y amigable, con una comunidad unida que promueve la convivencia y el bienestar de sus habitantes. Además de sus áreas verdes, el Esmeraldal cuenta con parques y espacios recreativos, ideales para disfrutar en familia y fomentar un estilo de vida activo.

¡No dejes pasar la oportunidad de hacer de esta casa tu nuevo hogar! Contáctanos para más información y agenda tu visita.",1,,
Arriendo,Casa,5,5,230 m²,,2021,5,6.167286,-75.583696,Antioquia,Envigado,"Carrera 36 37S 88-100, Mesa, Envigado, Antioquia, COL",6200000,"¡Tu hogar ideal te espera! Casa de 230 m² en tres niveles en un exclusivo sector 

Descubre esta hermosa casa que combina elegancia, comodidad y funcionalidad. Con un diseño moderno y acogedor, esta propiedad cuenta con 4 amplias habitaciones, siendo la principal un verdadero refugio con balcón privado, vestier y un baño con bañera. Además, incluye una habitación de servicio con su propio baño y ducha, sumando un total de 5 baños en la casa, 4 de ellos equipados con ducha.

La cocina integral en madera clásica es un sueño para los amantes de la gastronomía, con una práctica barra que conecta con el salón comedor, ideal para compartir momentos en familia. La sala, adornada con una acogedora chimenea, es perfecta para disfrutar de noches cálidas. El estudio con balcón ofrece un espacio tranquilo para trabajar o estudiar.

Disfruta de tu tiempo libre en el patio interior, que cuenta con módulos plásticos para guardar herramientas, y un espacio de barbacoa con asador a gas, ideal para reuniones con amigos. Relájate en el jacuzzi con cromoterapia, burbujas y jets para 6 personas, complementado con una zona solarium que incluye sillas asoleadoras y sombrillas sobre un deck de teca y acero inoxidable, rodeado de un hermoso jardín vertical.

Entre las comodidades adicionales, encontrarás un cuarto útil bajo las escaleras, un patio de ropas independiente, y tres parqueaderos con cajoneras superiores, además de espacio para visitantes. La seguridad es primordial, con portería 24 horas y una red de cámaras internas lista para que instales tu DVR. Además, la casa cuenta con iluminación natural en todas las áreas, creando un ambiente cálido y acogedor.

Ubicada en un entorno tranquilo, sin casas en frente ni detrás, disfrutarás de la privacidad que mereces. A solo 30 metros, encontrarás un gimnasio completo y barras, así como un parque infantil al frente de la casa y un sendero peatonal para paseos relajantes.

Precio de arriendo $6'200.000
Código 8988444

UBICACIÓN
El Esmeraldal es un sector residencial privilegiado en Envigado, conocido por su ambiente tranquilo y su cercanía a la naturaleza. Este barrio se caracteriza por sus amplias calles, áreas verdes y un entorno familiar, lo que lo convierte en un lugar ideal para vivir. El Esmeraldal se encuentra en una posición conveniente, con fácil acceso a las principales vías de la ciudad, lo que permite una rápida conexión con Medellín y otras áreas del Valle de Aburrá. Rodeado de montañas y zonas verdes, el sector ofrece un clima agradable y un ambiente sereno, perfecto para quienes disfrutan de actividades al aire libre y de la tranquilidad que brinda la naturaleza. La zona cuenta con una variedad de proyectos de vivienda, desde casas unifamiliares hasta apartamentos en condominios cerrados, todos diseñados para ofrecer comodidad y seguridad a sus residentes. En el Esmeraldal, los residentes tienen acceso a una amplia gama de servicios, incluyendo supermercados, restaurantes, colegios y centros de salud, lo que facilita la vida diaria.
El sector es conocido por su ambiente seguro y amigable, con una comunidad unida que promueve la convivencia y el bienestar de sus habitantes. Además de sus áreas verdes, el Esmeraldal cuenta con parques y espacios recreativos, ideales para disfrutar en familia y fomentar un estilo de vida activo.

¡No dejes pasar la oportunidad de hacer de esta casa tu nuevo hogar! Contáctanos para más información y agenda tu visita.",1,,
Arriendo,Apartamento,3,3,85 m²,,2021,4,6.148882,-75.609181,Antioquia,Sabaneta,"Calle 64 Sur #39 - 67, Alto Las Flores, Sabaneta, Antioquia, Colombia",5000000,"París Parque Residencial es el primer proyecto inmobiliario temático en el Área Metropolitana del Valle de Aburrá. Aquí podrás disfrutar de momentos únicos con tu familia Un delicioso café en la mañana en la plaza típica parisina, un memorable recorrido en pareja por los senderos bajo la Torre EIFFEL, una agradable caminata ecológica acompañada de sonidos naturales, son algunos de los espacios que podrás disfrutar en tu parque residencial París",1,25,85 m²
Arriendo,Apartamento,3,3,85 m²,,2021,4,6.148882,-75.609181,Antioquia,Sabaneta,"Calle 64 Sur #39 - 67, Alto Las Flores, Sabaneta, Antioquia, Colombia",5000000,"París Parque Residencial es el primer proyecto inmobiliario temático en el Área Metropolitana del Valle de Aburrá. Aquí podrás disfrutar de momentos únicos con tu familia Un delicioso café en la mañana en la plaza típica parisina, un memorable recorrido en pareja por los senderos bajo la Torre EIFFEL, una agradable caminata ecológica acompañada de sonidos naturales, son algunos de los espacios que podrás disfrutar en tu parque residencial París",1,25,85 m²
